week,QQQ_1M_shock_score,QQQ_1W_shock_score,SP_1M_shock_score,SP_1W_shock_score
2021-04-05,0.8819299413982998,1.24006346591773,2.3335293313314187,0.6043591191163963
2021-04-12,0.4932601905332408,0.6418589335945333,2.693869211324153,1.404163534453576
2021-04-19,0.17590669304388268,0.2971729845457142,2.7412594202393903,2.4083943083823893
2021-04-26,0.40030551259099173,0.26161469643322405,2.1103232710771307,3.1533072778644176
2021-05-03,0.6997790575904,0.6194376755580961,1.7169311715023725,3.236727374078664
2021-05-10,0.7733585544791168,1.0682338729783034,1.690666054098818,3.0482049025954043
2021-05-17,1.0210601993589539,1.4992589257865734,1.4281764700678243,2.87374255758722
2021-05-24,0.8903711599062537,1.884583056420997,1.509640761132809,2.570077058406664
2021-05-31,0.8324417271802104,1.9660982845407642,1.4728753315865002,2.3131141968668145
2021-06-07,0.852532502792186,1.9781187972994163,1.3273846528214714,2.1147287219688926
2021-06-14,0.9257448258605133,1.9342968100637752,1.207941640801474,1.9000968353535737
2021-06-21,1.187249003853778,1.8596629944627854,1.1089128085673314,1.8498414718303804
2021-06-28,1.4098515638295477,1.762780874822586,1.0392300112168231,1.717487264430024
2021-07-05,1.5989412156197487,1.572899408261904,1.0443042000590936,1.5478650719387972
2021-07-12,1.744821614235353,1.7086847274852108,1.0327930095155553,1.5573603574881174
2021-07-19,1.7386754158047744,1.726894751545126,0.9898486367939734,1.5222478680464864
2021-07-26,1.999558947343538,1.3999732908567961,0.7949378666098638,1.4133779548432164
2021-08-02,2.1942514579770838,1.3634923669118175,0.522299011456831,1.371792262045894
2021-08-09,2.0705896510658577,1.3276785837820682,0.3914163577700472,1.3315706759724968
2021-08-16,1.8013244176117285,1.233444634150591,0.4016118987164135,1.210132530368088
2021-08-23,1.9628563686328666,1.2536763080246098,0.08534585621880891,1.145638453443304
2021-08-30,2.0279973135380462,1.3419218918806621,0.2844102618159572,1.121056617517959
2021-09-06,2.4918630980871885,1.2149323872874735,1.3990872061712467,0.9409264198696031
2021-09-13,2.313922454157719,1.246405548847283,2.0324847499185648,0.9569326578488628
2021-09-20,2.224216044620788,1.3532207925111341,2.550980140556111,0.9945393879564957
2021-09-27,2.1968262053877226,1.0207893061260283,2.7251664638357624,0.8118600018032844
2021-10-04,2.0527061463457814,0.9128921100570362,2.2823255613628306,0.7198927248208511
2021-10-11,2.0031990665731576,0.27630896371950253,2.1079296589084726,0.34410021377155314
2021-10-18,1.9371917764402586,0.21744910811915089,1.8411793110535466,0.08749649492145814
2021-10-25,1.7726053136996223,0.6061736576527041,1.5326655990514186,0.4270179143265677
2021-11-01,1.5559827465425193,0.4306963850031239,1.144108043764099,0.18504069062348763
2021-11-08,1.5079797937701378,0.6377992992375999,1.0157595710293807,0.42927236232359695
2021-11-15,1.3077434072509553,0.26110277804064824,0.6363083467179161,0.31910979842735393
2021-11-22,1.0384802675782472,0.2553012265382061,0.22879527426765078,0.3184457721831313
2021-11-29,1.072679249053406,0.4467180682967315,0.0024193837008357083,0.3165529313036181
2021-12-06,0.9275816602480926,1.7455721956344201,0.4225142340231624,1.6472787017546267
2021-12-13,0.931621507795461,1.6874183873996582,0.5982930005023018,1.9107641658029075
2021-12-20,0.9488169012123764,2.079696213952993,0.7130395124336661,2.3820655586993165
2021-12-27,0.9616438390540935,2.3906903407993547,0.7513483853047241,2.7137854204980956
2022-01-03,0.9804952220864305,2.086589897650589,0.8476331527602865,2.548185578143717
2022-01-10,1.1326621061836633,2.1033087122775966,0.7886211474013682,2.3371612522725296
2022-01-17,1.482425336012285,1.507663687826962,0.4664210217079296,1.7510797203747972
2022-01-24,1.741182101398041,1.3551384700858982,0.20506795855233348,1.5621594346984427
2022-01-31,1.947265633400773,0.9681011201105386,0.18714605844153945,1.529606466539678
2022-02-07,2.218059494881619,1.090109629932628,0.8007795798783237,1.5006627371559402
2022-02-14,2.315992701844765,0.8246412706138251,1.0984812808421356,1.257610320201433
2022-02-21,2.2777178448306894,0.8730392947419766,1.0419216898252643,1.2031241648633424
2022-02-28,2.1921885947894397,0.08938492044185851,0.8895340469446437,0.6868367905311322
2022-03-07,2.0784566387286874,0.16106497298855715,0.7962231544450894,0.5607845609542595
2022-03-14,1.75319170390193,0.9055325734545282,0.21979969998394322,0.040350195446344196
2022-03-21,1.6628872064027798,0.005657763827052697,0.016533619244218384,0.5327327910341737
2022-03-28,1.5938353467855861,0.7799340332330558,0.05940471075344271,1.2544867719903532
2022-04-04,1.6213400941766025,0.181782048370054,0.2790684325164543,1.0559792012146638
2022-04-11,1.7705166725906882,1.0346422108194386,0.909409511124587,0.193171133803619
2022-04-18,1.930957361544215,1.9351104367097822,1.5603431267242422,0.24835610360824759
2022-04-25,1.9104280642894809,2.2701172002739924,1.6899115165557557,0.7093983560218428
2022-05-02,1.9942171056796323,2.136365037108189,2.0279614382153937,0.7554870560150732
2022-05-09,2.0142149004684584,2.5078952208734955,2.4243286837714493,1.846930911193852
2022-05-16,1.9711232372855625,2.4600374800188605,2.3224375102730668,2.138143182521095
2022-05-23,1.8029704227866021,2.1740536383820315,1.7884396810315453,1.8701093611776405
2022-05-30,1.5865576959900687,2.1452911062813493,1.3386037585000514,2.095267612011893
2022-06-06,1.5862827959611208,2.050512308698358,1.391686505424246,2.0005384374937933
2022-06-13,1.640394114611899,2.058732875690173,1.6085848107132479,2.21358019555952
2022-06-20,1.7121819007315946,2.0782968335632805,1.8792891832101632,3.371834666755517
2022-06-27,1.7164163524934593,1.613669370084673,2.094618759833381,2.5984806142679746
2022-07-04,1.7030634525850987,1.9356770825081222,2.1042062341104426,2.3846582071248155
2022-07-11,1.6379728290742408,1.3864624917531443,1.9709057003884651,1.8168032841489283
2022-07-18,1.4548701377647748,1.2840786367064507,1.6602504813063028,1.6705297255945688
2022-07-25,1.2663143160082293,1.2503756746756522,1.4534656592210358,1.5840764655221378
2022-08-01,1.2668997416644803,0.9698823207158461,1.7699457848331677,1.2847827118776747
2022-08-08,1.4959531895661204,1.076763362271233,1.6027460152498878,1.3622805322471516
2022-08-15,0.08805303489888758,1.0828147374659642,0.40712298465639357,1.3134006210663172
2022-08-22,0.38978878167224174,0.9309858846389609,1.0406391154707255,1.1215452375491135
2022-08-29,0.6109064582921221,0.6960123292666033,1.3835928207353743,0.8705084277158184
2022-09-05,0.7226840124830384,0.555271644251868,1.5661116888002764,0.717281361205547
2022-09-12,1.0127034758780158,0.1474226301670969,1.8597138058734397,0.18495200066736892
2022-09-19,1.2402498742574968,0.15578226408035364,2.1182606719009702,0.16237326503706667
2022-09-26,1.4185894233636775,0.23318383475832796,2.207025161300528,0.31839888194631955
2022-10-03,1.679376254614131,0.7557644504110568,2.2714709335362495,0.8125575808085659
2022-10-10,1.8121220961966267,1.0628759553788816,2.154058432091225,1.0856745559171614
2022-10-17,1.7239540189183031,1.1195804202576005,1.870596299815531,1.1050724436949606
2022-10-24,1.7258826001175192,1.3697163720786902,1.6508117113656386,1.3060079961389248
2022-10-31,1.4693759336909085,1.5707342807770488,1.2477724068478813,1.4520172406837366
2022-11-07,1.5948171004281446,1.4946090680498538,1.2057607319166206,1.3564023367902036
2022-11-14,2.208359027296269,1.5101845414306954,1.6111587298024348,1.3092865873775021
2022-11-21,2.0114436995730345,1.4757207711119227,1.3956119531945619,1.2084057233234455
2022-11-28,1.9978293327474894,1.294096340021548,1.4124282873815772,1.0100222179354865
2022-12-05,1.9315820540032052,1.3021209615932536,1.3424490342262605,1.0412829469623617
2022-12-12,1.7898574784793244,1.2377418001246716,1.3031412401424178,0.9672889562057583
2022-12-19,1.7075407976984944,1.1691759842189464,1.2969796548945054,0.8552695224007257
2022-12-26,1.8091371992788494,1.1232130803120866,1.5894475060301987,0.7235732157470743
2023-01-02,1.903114457056701,1.1248618514047757,1.7788952545688557,0.6687793055187747
2023-01-09,1.8443260270462691,1.0133515751661968,1.7949352733453594,0.5365685454633689
2023-01-16,1.6710703250802268,0.9834052340098022,1.6567173184695092,0.5345185623272791
2023-01-23,1.4893693022904786,0.991130450209697,1.5226770074572222,0.5370047271767571
2023-01-30,1.3090659614071347,0.8780755770446036,1.3374057292099448,0.45023448029883056
2023-02-06,0.8118481365523438,0.9889823768594757,0.655184942938474,0.5451134477375668
2023-02-13,0.7494224643530982,0.9848605584532416,0.5994528611483325,0.5815497636815941
2023-02-20,0.8400545748875684,1.136207107087996,0.761677782848649,0.827921004458308
2023-02-27,0.9651158883024906,1.1939418382617957,0.9081589211836031,0.9364290561472436
2023-03-06,1.1212379272597959,1.3424496858739627,1.224615267893335,1.2866638794617788
2023-03-13,1.194648314928447,1.1116083879292136,1.5616722446738642,1.0969521001353502
2023-03-20,1.1152201685387562,1.0496405034931038,1.580372982160933,0.8224771903153162
2023-03-27,0.8973292077488878,0.795454318674811,1.0932784430016553,0.03721070304487908
2023-04-03,0.7625257155868675,0.7223136596375144,0.8735718704599885,0.33161650516234104
2023-04-10,0.7933155894899062,0.435485972503647,0.7931827257832583,0.9261339789171926
2023-04-17,0.8059050489945812,0.3026253426456079,0.6877879951984864,1.1074771944453459
2023-04-24,0.8188102112640298,0.24306065601817928,0.6626603539978088,1.0390511180066804
2023-05-01,1.2594196472902315,0.35302157473545936,1.061807478252189,0.6518032926720208
2023-05-08,1.3942838272458224,0.48478462423439667,1.0235048610622433,0.17891579977833455
2023-05-15,1.1512054835541194,0.37805012887051337,0.715061943797628,0.04754405647768006
2023-05-22,0.7650925263668278,0.3323987641039612,0.4452810667403514,0.24476682689048823
2023-05-29,0.364252640408972,0.5570327005133554,0.11012852493638266,0.34740063540017
2023-06-05,0.00473037254116231,0.9435132260929171,0.20955868733957186,0.5912414478035746
2023-06-12,0.4157445284888508,0.8918930131595771,0.6561405755451069,0.4521301429616891
2023-06-19,0.5114600663636298,1.793403939929032,0.9581192326691891,1.138587228974667
2023-06-26,0.6352290954613906,1.5654634026328003,1.137825557520907,0.7972651981816945
2023-07-03,0.6438016773473791,1.4831151293891658,1.1625437234925353,0.7239675000435434
2023-07-10,0.5214783401667749,1.4699709959844416,0.9958946452921266,0.724641726791779
2023-07-17,0.4109646625781088,1.4757183230773983,0.8644293234420555,0.7149769194735908
2023-07-24,0.552665492578208,0.954817694702128,1.2512305808863446,0.3108426565378231
2023-07-31,1.328876375195072,0.9657797498047878,1.4024261883110107,0.32260024176726193
2023-08-07,1.2237405991610166,0.7805306950128225,1.4678427626140376,0.11740653468944544
2023-08-14,0.6972385949472203,0.8056858052334915,1.1730999674676046,0.18833572215455602
2023-08-21,0.7027783352157596,0.8128077463119661,1.2148254859458665,0.22142775930839742
2023-08-28,0.856418620409424,0.6637428553443476,1.3120284041992232,0.08971596119514626
2023-09-04,1.0430925746702635,0.9904107284932983,1.3868200391080021,0.49087004698800946
2023-09-11,1.0289043907267,0.8193676332929735,1.3470352136253916,0.35546179662825783
2023-09-18,0.9690502136196202,0.8873204498349515,1.3061006166416305,0.5500947768176568
2023-09-25,0.7685421049542057,0.5299879784456041,1.076525199956831,0.15491738184831647
2023-10-02,0.7189434185593779,0.35185136404664524,0.9869000204717212,0.006213251933705102
2023-10-09,0.5988752974206237,0.42200334524989797,0.818381012837483,0.19802463052795702
2023-10-16,0.49353124626254563,0.28687045379185366,0.6866320853978476,0.02911950941770459
2023-10-23,0.31139527344002926,0.26655300082194183,0.48436082587971013,0.016282568064115616
2023-10-30,0.2507093005991357,0.10049096326049221,0.45710419401722907,0.31261880160460104
2023-11-06,0.23761146402689975,0.029664547182442682,0.4835895731798128,0.3602874020395621
2023-11-13,0.2997376124551668,0.0968377265949163,0.4697210469836254,0.1332281146936169
2023-11-20,0.4290818205668717,0.1917068429464757,0.7008716542410509,0.3373666092929685
2023-11-27,0.31070300229608666,0.5945645020275295,0.6310786208986693,0.7365336881789836
2023-12-04,0.016874053002274292,0.43761884650071325,0.44729887142790287,0.38736145220498663
2023-12-11,0.34774926009130197,1.10507090156918,0.13679540742666269,0.7067758592684922
2023-12-18,0.19735546582487964,0.5765521940389309,0.38988710570157525,0.16552469399290085
2023-12-25,0.02795547960134057,0.6936915867798706,0.5172801505052378,0.24598237009138596
2024-01-01,0.2681950263778683,0.794837407139689,0.37555125651925153,0.6707572385397127
2024-01-08,0.19490099961189464,1.2640542881848689,0.391357233330821,0.9832651130178556
2024-01-15,0.010351291442031693,2.346966622202708,0.5862759727290301,1.6596026062023663
2024-01-22,0.41107871804278756,2.320754587947044,0.12891716775745332,2.3811192386209803
2024-01-29,0.419129226782179,1.278070661138492,0.3752148726570753,1.4675292419981387
2024-02-05,1.9534087625851342,2.0661499374918697,1.1969446241629498,1.9199446370872673
2024-02-12,1.3331689646843141,1.9035846019872604,0.8859112670103085,1.775909470209338
2024-02-19,1.2540871409590395,1.5036595740908774,0.9407684625400358,1.1622837062622464
2024-02-26,1.2119854665960155,2.131825523091885,0.9957352057001106,1.7931974614139912
2024-03-04,0.07747684123180995,1.6441598131979673,0.01735566266798787,1.5410817867808386
2024-03-11,0.12941505122276076,0.8625988089574709,0.031861915308660456,0.3809808652279501
2024-03-18,0.44908176057870597,1.4945803802170525,0.27575240729317857,1.083451764431046
2024-03-25,0.26113933828471175,0.8204814860835827,1.0045513382609677,0.8492257175686068
2024-04-01,1.3828385614807897,1.146972837009415,2.157405232566149,1.2708616543870968
2024-04-08,1.4937066517631634,1.6686852852155698,2.181606953070853,1.6848036184617396
2024-04-15,0.012244451470886132,0.023784593307907474,0.8995638825595988,0.29115414312183435
2024-04-22,0.7368772454688228,1.6326736797011032,0.02817475751959174,2.218666592096488
2024-04-29,1.3246058749781344,1.6144239440367354,0.8022125160016126,1.9257548161064595
2024-05-06,2.3632922375637544,0.9104702442496566,1.5456972636117394,1.4206333349724853
2024-05-13,0.814037722890142,0.17035589371592827,0.05517366602529957,0.847854143979189
