window,variable,coef,p_value,t_value
3y,wd_4_x_MRDI_Long,0.0012299589601862287,0.7970329695935003,0.2572934003893289
3y,wd_4_x_RET_QQQ,-0.0863517186041502,0.8227694312638263,-0.2240740766217563
3y,wd_4_x_RET_SP500,-0.8692060184304512,0.16625607538940548,-1.3858747627155565
3y,m_1_x_RET_QQQ,-0.7859932692885505,0.023612647434063008,-2.2686671844177106
3y,m_1_x_RET_SP500,0.2925232833288256,0.5639698753325078,0.5772481614659959
3y,m_2_x_RET_QQQ,-0.8286191584836764,0.00048709965682347674,-3.5053292135804206
3y,m_2_x_RET_SP500,0.37384375753837135,0.3612011123491714,0.9137172941101763
3y,m_3_x_RET_QQQ,0.8627409396757842,0.0020049874985524525,3.1019539881070224
3y,m_3_x_RET_SP500,-0.9922567956249414,0.013198546306863157,-2.485129906462087
3y,m_4_x_RET_QQQ,0.2709318783052269,0.418181704375162,0.8100908812450399
3y,m_4_x_RET_SP500,-1.2687893379427888,0.0030512961507167895,-2.973598205389332
3y,m_5_x_RET_QQQ,0.6440742813701053,0.0061753783739156,2.7472164151954734
3y,m_5_x_RET_SP500,-0.7632287748763967,0.036945288809813535,-2.090632773367361
3y,m_6_x_RET_QQQ,0.526334373357729,0.04683769248558516,1.9915225975717843
3y,m_6_x_RET_SP500,-0.6453710832034657,0.15394376294682513,-1.4273885247127356
3y,m_7_x_RET_QQQ,-0.02701477358952586,0.9334776363376469,-0.08350228261017424
3y,m_7_x_RET_SP500,-1.3718169393448454,0.0021355336437013763,-3.0829552274298897
3y,m_8_x_RET_QQQ,-0.5644620908357417,0.19601328634568932,-1.2943114930495516
3y,m_8_x_RET_SP500,0.6382252477371834,0.28728332164359544,1.0649655910576459
3y,m_9_x_RET_QQQ,-0.9969913595609247,0.015623478117314701,-2.4239164876299197
3y,m_9_x_RET_SP500,1.0070168953284016,0.04355630948137828,2.0222456973573846
3y,m_10_x_RET_QQQ,0.22964186890408178,0.5842233981164531,0.547497219352832
3y,m_10_x_RET_SP500,-0.7160839915612465,0.21712012771089795,-1.2354101960333201
3y,m_11_x_RET_QQQ,1.4793593418216273,0.00039304471502257983,3.5631205654500144
3y,m_11_x_RET_SP500,-1.8325202425764187,0.0008768082450386775,-3.3427060065976075
3y,m_12_x_RET_QQQ,-0.7165632931352718,0.03726078390599116,-2.0871411255300036
3y,m_12_x_RET_SP500,0.24821475046435756,0.5944789257930747,0.5326172409614679
5y,const,0.7537973361722158,3.023024410555747e-36,13.026962112825798
5y,VIX,-0.0009705528693634573,0.12733897682300632,-1.5258011317720965
5y,US10Y,0.0931598622814692,3.884348151635275e-29,11.525179140482836
5y,USDJPY,-0.007498190557403026,3.390903912935597e-34,-12.607725543989671
5y,RET_QQQ,1.017182649900959,0.20993530265716648,1.2544565196592103
5y,RET_SP500,0.42879763459863934,0.6581286216938917,0.4426153392368259
5y,RET_NASDAQ,-1.3960837437213247,0.10679771283257891,-1.6140398928798982
5y,RET_DOW,-0.2701492227367845,0.6163619886644677,-0.5011515530896166
5y,RET_VIX,-0.011759015573442182,0.6695596135181598,-0.42686402231831166
5y,RET_US10Y,0.06844477297405396,0.5430839217321495,0.6083403343819296
5y,RET_USDJPY,0.013039955040898903,0.9523340663295208,0.05978922948936003
5y,RET_GOLD,0.12764190434607944,0.3696165784811144,0.8975498977636518
5y,RET_TLT,0.3329750096164816,0.16778207984805427,1.3802511310375882
5y,RET_QQQ_MA20,9.31412700321881,0.770172447916982,0.29221943410823487
5y,RET_SP500_MA20,-21.02867994038622,0.7103867810483167,-0.37143009596781584
5y,RET_NASDAQ_MA20,39.04284759841526,1.1483113435621489e-11,6.8577929627450676
5y,RET_DOW_MA20,13.993620509754168,0.00013276431484072652,3.8344927386238568
5y,RET_VIX_MA20,0.4239561945408714,0.09858029922593448,1.6531380322005451
5y,RET_US10Y_MA20,-8.381802052541014,4.507781242279223e-20,-9.3507338266336
5y,RET_USDJPY_MA20,17.101117736429554,1.1884975851321942e-16,8.41343785970438
5y,RET_GOLD_MA20,-0.20787617533082053,0.8307672126837911,-0.21376709863346247
5y,RET_TLT_MA20,-7.405000244472235,8.128103022117696e-05,-3.9550349012711212
5y,RET_QQQ_MA60,-39.13242384253837,0.0001985249022531042,-3.733131774291111
5y,RET_SP500_MA60,-62.35582463038732,1.9195014889737032e-06,-4.786751929669125
5y,RET_NASDAQ_MA60,63.162202621858135,3.92911263906735e-08,5.532105622691233
5y,RET_DOW_MA60,17.094971502277392,0.01926039583702761,2.343808135892224
5y,RET_VIX_MA60,-0.5684877320565795,0.29809095180525713,-1.0410152448916359
5y,RET_US10Y_MA60,2.8346093381713926,0.12273349805184648,1.5445557557440592
5y,RET_USDJPY_MA60,-7.278112610691173,0.11850702579689285,-1.5622577669416462
5y,RET_GOLD_MA60,-0.7356363067530833,0.7194007282144441,-0.3593494983685818
